,CountryName,GamingScore,BoardGamesScore,ChessGamesScore,PokerGamesScore,SumScore
0,United States,20.0,20.0,20.0,20.0,80.0
1,United Kingdom,19.0,19.0,18.0,19.0,75.0
2,India,17.0,16.0,19.0,18.0,70.0
3,Germany,18.0,17.0,17.0,17.0,69.0
4,Canada,16.0,18.0,16.0,16.0,66.0
5,Australia,15.0,15.0,14.0,12.0,56.0
6,France,14.0,14.0,15.0,10.0,53.0
7,Netherlands,13.0,13.0,13.0,9.0,48.0
8,Brazil,12.0,11.0,12.0,11.0,46.0
9,Poland,9.0,10.0,10.0,7.0,36.0
10,Italy,8.0,9.0,11.0,6.0,34.0
11,Sweden,11.0,12.0,9.0,1.0,33.0
12,Russia,10.0,4.0,7.0,8.0,29.0
13,Switzerland,5.0,7.0,2.0,4.0,18.0
